Pos,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,Sh/90,SoT/90,FK,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Tkld,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Mn/MP,Min%,Mn/Start,Compl,Subs,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,cluster,Age,Player,Nation,Squad,Comp,Loss
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW,26,20,1628,18.1,4,1,5,4,0,1,6,0,5.5,4.7,1.1,5.8,24,44,93,0.28,0.36,26,9,1.44,0.5,0,-1.5,-0.7,291,354,82.2,4122,691,1.2,-0.1,11,22,12,2,317,34,1,1,2,7,1,0,0,0,0,3,10,39,2.16,29,0,2,5,3,0,4,0.22,20,13,7,8,5,19,10,13,2,11,3,23,9,0,580,13,73,282,239,57,579,57,20,35,319,1848,728,24,20,4,64,38,397,93,63,53.2,73.0,1,6,3,0.88,20,26,-6,-0.33,21.4,30.3,-8.9,-0.49,0,27,25,11,7,3,13,0,0,0,59,25,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,Oumar Diakité,ci CIV,Reims,fr Ligue 1,2.005610444970042
FW,27,22,1853,20.6,3,4,7,2,1,2,3,0,4.7,3.1,2.1,5.2,25,43,138,0.29,0.33,34,10,1.65,0.49,0,-1.7,-1.1,404,547,73.9,5609,1043,1.3,1.9,24,25,9,2,515,29,0,4,2,35,0,0,0,0,0,3,28,43,2.09,36,0,0,4,2,1,4,0.19,5,3,0,2,3,5,4,5,0,5,0,5,8,0,713,6,46,371,302,78,711,17,7,10,384,1704,615,25,17,8,53,30,543,138,69,60.6,82.0,3,5,5,1.0,16,25,-9,-0.44,17.4,25.6,-8.2,-0.4,0,11,12,14,35,0,3,0,0,0,58,28,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.0,Johannes Eggestein,de GER,St. Pauli,de Bundesliga,2.7289991406627347
FW,36,21,1840,20.4,7,2,9,7,0,0,2,0,6.7,6.6,1.5,8.1,8,31,64,0.44,0.4,59,19,2.89,0.93,0,0.3,0.4,298,411,72.5,4403,655,0.7,0.5,15,23,2,0,383,25,0,1,4,5,3,0,0,0,0,3,13,29,1.42,23,1,0,4,0,1,1,0.05,16,8,1,13,2,31,24,28,4,24,9,25,23,0,643,23,67,342,240,78,643,20,11,9,286,1120,375,8,12,2,48,20,415,64,51,53.8,69.0,4,15,1,1.92,28,13,15,0.73,25.7,18.9,6.8,0.33,0,40,21,7,5,9,8,0,0,0,61,36,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,Gorka Guruzeta,es ESP,Athletic Club,es La Liga,2.7798847393140393
FW,34,20,1837,20.4,3,6,9,3,0,0,3,0,4.8,4.8,2.8,7.6,7,27,75,0.44,0.37,32,12,1.57,0.59,0,-1.8,-1.8,276,419,65.9,3391,779,1.0,3.2,24,23,7,1,386,31,1,0,0,2,5,0,0,0,0,2,5,42,2.06,32,0,3,4,3,0,6,0.29,15,7,5,8,2,12,7,15,5,10,6,21,24,0,605,29,57,307,247,93,605,34,16,18,269,958,233,7,4,7,38,21,426,75,54,53.7,77.0,8,14,4,0.68,21,37,-16,-0.78,20.8,36.1,-15.3,-0.75,0,32,19,9,2,6,7,0,0,0,40,87,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28.0,Oliver McBurnie,sct SCO,Las Palmas,es La Liga,2.2159922376956356
FW,32,25,1907,21.2,4,1,5,4,0,0,1,0,3.2,3.2,2.1,5.4,31,41,103,0.24,0.25,23,7,1.09,0.33,0,0.8,0.8,322,460,70.0,4253,808,1.0,-1.1,22,26,16,2,435,24,0,1,1,7,2,0,0,0,0,1,16,45,2.13,35,0,3,5,2,0,4,0.19,22,12,3,8,11,10,5,18,3,15,3,25,14,0,681,21,54,302,328,58,681,33,14,18,345,1701,712,31,13,11,57,26,495,103,60,55.8,71.0,3,7,4,0.88,14,35,-21,-0.99,14.3,30.6,-16.3,-0.77,0,47,20,13,7,3,12,0,1,0,42,65,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,Amin Sarr,se SWE,Hellas Verona,it Serie A,2.2593341247237197
FW,34,19,1686,18.7,7,2,9,6,1,1,4,0,6.1,5.3,1.2,6.5,8,29,113,0.43,0.39,51,19,2.72,1.01,3,0.9,0.7,300,481,62.4,4032,671,1.4,0.8,22,18,9,1,465,15,0,1,0,1,1,1,0,0,0,1,21,48,2.56,35,1,3,7,2,0,5,0.27,11,6,2,7,2,8,3,10,1,9,5,16,26,1,677,22,68,298,320,89,676,31,15,15,347,1102,318,8,12,4,46,17,502,113,50,55.1,71.0,4,15,0,1.26,24,29,-5,-0.27,21.6,24.4,-2.8,-0.15,0,36,12,16,1,5,6,0,0,0,48,78,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,Phillip Tietz,de GER,Augsburg,de Bundesliga,2.395179446385944
"FW,MF",32,14,1402,15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.26,0.41,28,11,1.8,0.71,0,-1.8,-1.8,292,410,71.2,3600,901,1.1,-0.5,12,26,6,0,400,9,1,6,2,4,0,0,0,0,0,1,15,31,1.99,28,0,0,2,1,0,3,0.19,14,8,3,8,3,10,5,15,4,11,6,20,8,1,587,16,71,303,219,56,587,35,11,24,327,1483,523,14,21,4,41,30,418,69,44,41.0,72.0,4,18,0,1.19,26,24,2,0.13,22.8,24.4,-1.6,-0.1,0,9,13,3,4,6,8,1,0,0,57,21,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.0,Joshua Zirkzee,nl NED,Manchester Utd,eng Premier League,2.335490874064465
FW,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.33,0.44,26,12,2.18,1.0,0,-1.3,-1.3,112,179,62.6,1540,198,0.1,0.0,12,8,0,0,160,17,0,1,2,5,0,0,0,0,0,2,7,25,2.09,18,0,4,1,2,0,5,0.42,4,3,1,2,1,4,1,2,1,1,1,5,5,1,251,5,19,118,117,49,251,14,7,6,126,661,279,11,5,7,16,14,174,45,72,35.1,79.0,7,2,1,0.53,12,29,-17,-1.42,12.8,23.6,-10.8,-0.9,0,17,8,16,5,1,3,2,0,0,24,28,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.0,Akor Adams,ng NGA,Montpellier,fr Ligue 1,2.333888806738078
FW,22,14,1188,13.2,1,2,3,1,0,0,5,0,2.7,2.7,0.8,3.5,11,16,39,0.23,0.27,22,2,1.67,0.15,0,-1.7,-1.7,138,210,65.7,2358,395,0.3,1.2,9,13,3,0,185,22,2,3,6,1,1,0,0,0,0,3,5,19,1.44,15,0,3,0,1,0,1,0.08,10,6,3,5,2,13,8,18,2,16,3,13,10,0,372,13,46,208,128,32,372,41,17,18,195,1010,345,11,9,5,40,23,255,39,54,34.7,75.0,2,8,13,0.41,11,32,-21,-1.59,11.4,22.8,-11.4,-0.87,0,12,28,5,1,3,6,0,0,0,44,47,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27.0,Marcos André,br BRA,Valladolid,es La Liga,2.1189369867303713
